lugares	lat	lon
PR-181 Int. con la PR-8860	18.3585541	-66.0034467
PR-845	18.3659084	-66.0329804
PR-876,Villa de La Paz	18.4508139	-66.0838895
Residencial Covandonga	18.465757	-66.1074859
Residencial Los Cedros	25.4466007	-100.983858
Residencial Los Claveles	18.0456611	-66.4975846
Residencial Rosaleda	18.3882081	-66.0410204
Rincon Espanol	18.355783	-66.0190542
Riveras del Rio	16.4457777	-95.0091516
Round Hill	18.3749488	-66.01711
Sector El Hoyo	18.1567654	-67.1287451
Sector Lomas del Sol	18.2717968	-65.9647581
Sector Los Coto	18.1198016	-67.0688223
Sendero del Rio	18.4696164	-66.8401128
Sunville	18.3635604	-66.0204433
Terra Linda	18.478775	-67.1353265
Terrazas de Carraizo	18.3439562	-66.0170396
Terrazas de Cupey	18.368838	-66.0312768
Urb. El Conquistador	18.3468945	-66.0048875
Urb. Lourdes	18.3335039	-66.082442
Venus Gardens	18.3752266	-66.0379434
Villas de Carraizo	18.3439562	-66.0170396
Vista Serena	18.3573822	-65.9884646
Carr. 945	18.3827775	-66.1721346
